route_id,trip_id,trip_headsign,trip_direction_name
10671,1179712,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179713,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179714,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179715,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179716,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179717,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179718,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179719,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179720,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179721,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179722,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10672,1179772,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179773,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179774,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179775,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179776,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179777,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179778,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179779,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179780,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179781,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179782,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179783,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179784,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179785,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179786,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10671,1179676,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179677,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179678,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179679,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179680,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179681,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179682,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179683,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179684,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179685,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179686,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179687,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179688,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179689,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179690,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10672,1179740,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179741,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179742,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179743,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179744,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179745,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179746,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179747,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179748,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179749,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179750,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179751,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179752,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179753,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179754,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10671,1179659,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179660,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179661,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179662,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179663,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179664,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179665,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179666,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179667,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179668,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179669,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179670,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179671,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179672,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179673,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179674,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10671,1179675,MEMORIAL UNION VIA JOHNSON/WASHINGTON,East Loop
10672,1179739,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179738,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179733,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179732,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179731,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179730,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179729,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179728,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179727,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179726,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179725,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179723,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179724,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179734,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179735,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179736,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10672,1179737,MEMORIAL UNION VIA OBSERVATORY/BREESE,West Loop
10673,1179793,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179794,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179795,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179796,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179797,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179798,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179799,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179800,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179801,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179802,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179803,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179804,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179805,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179806,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179807,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179808,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179809,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179810,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179811,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
10673,1179812,EAGLE HEIGHTS VIA U.W. CAMPUS,West Loop
